iter	Passed	Remaining
284	5882	14758
285	5896	14719
286	5909	14681
287	5925	14650
288	5941	14618
289	5957	14585
290	5972	14550
291	5985	14513
292	6000	14479
293	6014	14442
294	6028	14406
295	6042	14371
296	6056	14335
297	6072	14305
298	6088	14273
299	6103	14241
300	6118	14207
301	6132	14173
302	6145	14137
303	6159	14101
304	6172	14066
305	6186	14031
306	6200	13997
307	6214	13961
308	6229	13929
309	6244	13898
310	6258	13864
311	6272	13830
312	6286	13797
313	6300	13764
314	6314	13731
315	6331	13703
316	6346	13674
317	6363	13647
318	6380	13620
319	6395	13590
320	6411	13561
321	6428	13535
322	6441	13501
323	6455	13468
324	6469	13436
325	6486	13411
326	6505	13388
327	6519	13357
328	6535	13329
329	6552	13303
330	6566	13271
331	6581	13242
332	6595	13210
333	6612	13185
334	6632	13165
335	6651	13144
336	6666	13115
337	6682	13087
338	6696	13057
339	6710	13026
340	6724	12994
341	6737	12961
342	6750	12931
343	6764	12899
344	6777	12867
345	6794	12841
346	6807	12811
347	6821	12780
348	6834	12749
349	6849	12720
350	6864	12693
351	6878	12663
352	6893	12635
353	6907	12605
354	6922	12578
355	6936	12548
356	6950	12518
357	6964	12488
358	6977	12459
359	6992	12431
360	7006	12402
361	7020	12372
362	7034	12343
363	7047	12314
364	7061	12285
365	7075	12256
366	7088	12226
367	7102	12198
368	7118	12173
369	7133	12145
370	7147	12117
371	7161	12089
372	7175	12061
373	7191	12037
374	7207	12012
375	7221	11984
376	7234	11954
377	7247	11926
378	7261	11898
379	7275	11870
380	7289	11842
381	7303	11815
382	7317	11788
383	7334	11765
384	7349	11739
385	7362	11711
386	7375	11683
387	7391	11659
388	7407	11635
389	7424	11612
390	7441	11590
391	7459	11569
392	7477	11549
393	7495	11528
394	7512	11507
395	7530	11485
396	7550	11468
397	7567	11445
398	7583	11422
399	7600	11401
400	7617	11378
